policy,step,mean_evacuation_rate,std_evacuation_rate,mean_escaped,std_escaped
static_good,127,0.533929,0.040587,74.75,5.682
static_good,128,0.538214,0.039851,75.35,5.579
static_good,129,0.544286,0.041564,76.2,5.819
static_good,130,0.549643,0.042527,76.95,5.954
static_good,131,0.556429,0.041705,77.9,5.839
static_good,132,0.560714,0.041863,78.5,5.861
static_good,133,0.567143,0.04112,79.4,5.757
static_good,134,0.571429,0.041404,80.0,5.797
static_good,135,0.577857,0.041336,80.9,5.787
static_good,136,0.582857,0.042221,81.6,5.911
static_good,137,0.589286,0.042648,82.5,5.971
static_good,138,0.595,0.043979,83.3,6.157
static_good,139,0.602143,0.04363,84.3,6.108
static_good,140,0.607857,0.043442,85.1,6.082
static_good,141,0.613929,0.042527,85.95,5.954
static_good,142,0.619643,0.042371,86.75,5.932
static_good,143,0.624643,0.041984,87.45,5.878
static_good,144,0.629643,0.043052,88.15,6.027
static_good,145,0.634643,0.044163,88.85,6.183
static_good,146,0.639643,0.046372,89.55,6.492
static_good,147,0.645357,0.045752,90.35,6.405
static_good,148,0.651429,0.046214,91.2,6.47
static_good,149,0.656786,0.046262,91.95,6.477
static_good,150,0.663214,0.047179,92.85,6.605
static_good,151,0.668571,0.047563,93.6,6.659
static_good,152,0.673929,0.048931,94.35,6.85
static_good,153,0.678929,0.048733,95.05,6.823
static_good,154,0.684643,0.050319,95.85,7.045
static_good,155,0.69,0.05098,96.6,7.137
static_good,156,0.695714,0.050376,97.4,7.053
static_good,157,0.701786,0.050451,98.25,7.063
static_good,158,0.705714,0.050689,98.8,7.096
static_good,159,0.714643,0.049973,100.05,6.996
static_good,160,0.718929,0.05042,100.65,7.059
static_good,161,0.726071,0.050874,101.65,7.122
static_good,162,0.731071,0.049758,102.35,6.966
static_good,163,0.7375,0.048806,103.25,6.833
static_good,164,0.7425,0.050075,103.95,7.011
static_good,165,0.748571,0.050639,104.8,7.089
static_good,166,0.753214,0.049922,105.45,6.989
static_good,167,0.758214,0.048565,106.15,6.799
static_good,168,0.761429,0.04783,106.6,6.696
